time_sec,time_nsec,disparity,focal_length_px,x_px,y_px,sensor_y,sensor_x
1745835187.0,0.0,11.769485473632812,1153.9887789999998,753,477,-22.03532007908469,194.13744020831308
1745835191.0,0.0,12.8890625,1153.9887789999998,747,478,-20.95699344475467,177.27416423188262
1745835211.0,500000000.0,21.435404459635418,1153.9887789999998,674.5645955403646,476,-18.89757766756233,106.59457285831229
1745835215.0,500000000.0,24.01414372370793,1153.9887789999998,715,477,-13.428010243467979,95.14800147399123
1745835217.0,500000000.0,25.634452418277142,1153.9887789999998,714,478,-12.5939129510041,89.13386348720628
1745835219.0,500000000.0,27.483139038085934,1153.9887789999998,711,478,-11.896307117456494,83.13816624999076
1745835221.0,500000000.0,28.89891142003676,1153.9887789999998,711,481,-11.265000371778111,79.06518516250371
1745835223.0,500000000.0,30.966034718048878,1153.9887789999998,709,479,-10.574805550896107,73.78722536561077
1745835225.0,500000000.0,34.2929502975109,1153.9887789999998,709,483,-9.452850996769632,66.62878995820448
1745835227.0,500000000.0,36.47275634765625,1153.9887789999998,709,488,-8.82873063782156,62.64669883023052
1745835229.0,500000000.0,40.585523651867376,1153.9887789999998,709,494,-7.8337415209513,56.298344257407884
1745835230.0,0.0,42.83803392493206,1153.9887789999998,709,494,-7.36977138502864,53.33806370348317
1745835232.0,0.0,48.147604299146074,1153.9887789999998,709,490,-6.447881394295762,47.456105359338174
1745835234.0,0.0,52.59586919740189,1153.9887789999998,709,503,-5.81882692236643,43.44253298380452
1745835236.0,0.0,57.420700445407775,1153.9887789999998,708,510,-5.281190831935104,39.79223110648652
1745835238.0,0.0,65.25199286882267,1153.9887789999998,709,516,-4.4982028034984465,35.016521058803114
1745835240.0,0.0,74.10634887695312,1153.9887789999998,708,513,-3.8691811046370708,30.832685958039377
1745835242.0,0.0,89.14645331246513,1153.9887789999998,705,527,-3.1160093430026707,25.63083215897842
1745835244.0,500000000.0,93.32970805107793,1153.9887789999998,696,555,-3.122904435385725,24.481998606162037
1745835246.0,500000000.0,106.7907178795856,1153.9887789999998,685,568,-2.8084216067722094,21.396033548499883
1745835248.0,500000000.0,124.80877965291343,1153.9887789999998,670,592,-2.49802521270683,18.307187913976716
1745835252.0,500000000.0,176.63355460030692,1153.9887789999998,609,656,-2.1584174762543498,12.935808191090038
1745835254.0,500000000.0,214.24050832895134,1153.9887789999998,560,716,-2.0586119328735357,10.665106240840778
1745835255.0,0.0,199.5746642322075,1153.9887789999998,560,716,-2.2826407067211774,11.448836911289971
1745835269.0,500000000.0,277.17007297018296,1153.9887789999998,476,749,-1.9665102805478119,8.243666994545263
1745835271.0,500000000.0,329.8849788120815,1153.9887789999998,485,749,-1.4400475065073641,6.926346845642791
1745835273.0,500000000.0,325.3975585854572,1153.9887789999998,491,749,-1.437050078770411,7.021865168112289
1745835274.0,0.0,351.1754156018867,1153.9887789999998,491,749,-1.2588936728186229,6.506428641947691
1745835276.0,0.0,314.2701057151512,1153.9887789999998,500,750,-1.4662825294500086,7.270490386670726
1745835280.0,0.0,338.01272499084473,1153.9887789999998,510,750,-1.2351711683839872,6.7597981184935785
1745835284.0,0.0,232.53224880630904,1153.9887789999998,500,751,-2.3296951139432194,9.826154411482241
1745835288.0,0.0,309.38146138191223,1153.9887789999998,501,750,-1.4986952397127318,7.38537394003526
1745835290.0,0.0,274.0798239707947,1153.9887789999998,499,750,-1.8336889493879711,8.336614309353443
1745835292.0,0.0,272.88957125345866,1153.9887789999998,498,750,-1.8532606150268898,8.37297582287524
1745835294.0,500000000.0,285.05157301161023,1153.9887789999998,497,751,-1.7388962554325216,8.015734690672748
1745835302.0,500000000.0,348.9511861299214,1153.9887789999998,495,750,-1.2505316309927668,6.547900890554037
1745835306.0,500000000.0,340.6994146149734,1153.9887789999998,498,750,-1.287362792282395,6.706491659230402
1745835311.0,0.0,349.84008314735013,1153.9887789999998,498,750,-1.2278595523307472,6.531263547229427
1745835315.0,0.0,338.37635005604136,1153.9887789999998,497,750,-1.3088491071190484,6.752533922780296
1745835317.0,0.0,313.6786008034983,1153.9887789999998,496,750,-1.4961631242899756,7.284200377606751
1745835319.0,0.0,308.0407319502397,1153.9887789999998,493,751,-1.5609489125726046,7.41751835205059
1745835321.0,0.0,298.1727291555966,1153.9887789999998,496,750,-1.625451025333635,7.663000532914809
1745835323.0,0.0,308.5437134504318,1153.9887789999998,494,750,-1.5503731660293736,7.405426468969601
1745835325.0,0.0,323.55611605114404,1153.9887789999998,493,750,-1.4386240661645335,7.06182844047624
1745835327.0,0.0,304.0624148607254,1153.9887789999998,493,750,-1.5943252299251258,7.514568295021231
1745835331.0,0.0,312.06080132146036,1153.9887789999998,493,750,-1.5280867538280403,7.32196345309733
1745835332.0,500000000.0,310.5632149025246,1153.9887789999998,492,749,-1.5466048919985254,7.357271153755775
1745835336.0,500000000.0,319.6050528249433,1153.9887789999998,489,750,-1.4934281034701724,7.149129096126971
1745835338.0,0.0,309.716454188029,1153.9887789999998,486,749,-1.5918976014463266,7.377385836378061
1745835340.0,0.0,289.59066214212555,1153.9887789999998,484,749,-1.7850071920555706,7.8900948170028204
1745835342.0,0.0,296.66657099516493,1153.9887789999998,482,749,-1.7321677436980087,7.7019051211443665
1745835344.0,0.0,300.73380872938367,1153.9887789999998,481,750,-1.7019360135029415,7.597741644259467
1745835346.0,0.0,292.51522579708615,1153.9887789999998,480,749,-1.7843382177291682,7.811209745386048
1745835348.0,0.0,247.78683378889758,1153.9887789999998,479,750,-2.2931291225489803,9.22122353105582
1745835350.0,0.0,272.2784875657823,1153.9887789999998,602,751,-1.1033573389958955,8.391767571677764
1745835352.0,0.0,273.14090628034614,1153.9887789999998,468,750,-2.068114515220956,8.36527129361879
1745835354.0,0.0,237.39617691665399,1153.9887789999998,559,723,-1.7695902288962893,9.624829734398759
1745835356.0,0.0,180.0105137788048,1153.9887789999998,647,638,-1.6813782439809557,12.693135164469671
1745835359.0,500000000.0,123.2658389998071,1153.9887789999998,744,586,-1.3530349603752356,18.536342274225508
1745835361.0,500000000.0,105.59093690529848,1153.9887789999998,766,556,-1.3327009569627795,21.639146780838395
1745835363.0,0.0,89.52540879022507,1153.9887789999998,777,537,-1.506231776167368,25.522338443312183
1745835365.0,0.0,77.07025051116943,1153.9887789999998,781,538,-1.806879065097805,29.646948949372625
1745835367.0,0.0,69.84045965021306,1153.9887789999998,787,530,-1.926306267407446,32.71596140494515
1745835369.0,0.0,62.65314016034526,1153.9887789999998,788,529,-2.229250777859524,36.46900660641059
1745835371.0,0.0,57.769023616139485,1153.9887789999998,779,527,-2.8098940687514906,39.552300513205246
1745835373.0,0.0,52.298362938133444,1153.9887789999998,772,523,-3.4723991476101546,43.68966166537428
1745835375.0,0.0,50.987599819521364,1153.9887789999998,760,519,-4.05311187635243,44.812813125304096
1745835377.0,0.0,48.96731827106882,1153.9887789999998,747,514,-4.786836065038584,46.66168912439662
1745835379.0,0.0,47.17726755666209,1153.9887789999998,731,513,-5.677536855938862,48.432177206442304
1745835380.0,0.0,44.961046942349135,1153.9887789999998,710,508,-6.930993713807094,50.81949682688189
1745835382.0,0.0,41.09983077139225,1153.9887789999998,698,513,-8.253253878820395,55.59384891702315
1745835384.0,0.0,39.50809020996094,1153.9887789999998,686,510,-9.227050939474715,57.83366825065925
1745835386.0,0.0,40.205721130371096,1153.9887789999998,674,510,-9.640730109543199,56.830165413797424
1745835388.0,0.0,41.27640380859375,1153.9887789999998,665,510,-9.796699642274433,55.35602842281245
1745835390.0,0.0,35.57640584309896,1153.9887789999998,665,510,-11.524928353362577,64.22508761837783
1745835392.0,0.0,32.158721923828125,1153.9887789999998,670,508,-12.547110437027946,71.05064025342985
1745835394.0,0.0,30.981356713079638,1153.9887789999998,682,514,-12.294639985529585,73.75073350016872
1745835396.0,0.0,37.46764394399282,1153.9887789999998,698,514,-9.149313023375784,60.983225575525864
1745835398.0,500000000.0,59.30876405777469,1153.9887789999998,735,511,-4.1801662489177565,38.52546615529204
1745835400.0,500000000.0,69.87997436523438,1153.9887789999998,767,509,-2.491343151687879,32.69746165729487
1745835401.0,0.0,22.310609072730657,1153.9887789999998,767,509,-9.914057769264565,102.41306165024139
1745835403.0,0.0,22.302077819253796,1153.9887789999998,804,506,-6.633333196773042,102.45223790078452
1745835405.0,0.0,27.90192186963427,1153.9887789999998,843,505,-2.3357985105865957,81.8903369128368
1745835409.0,0.0,56.17689208984375,1153.9887789999998,898,501,1.2766628822703814,40.673267911755616
1745836435.0,0.0,25.401915486653646,1153.9887789999998,441.59808451334635,507,-33.95114305381593,89.94982223370131
1745836443.0,500000000.0,39.30199081178696,1153.9887789999998,527,502,-17.290910339561144,58.136947651383146
1745836445.0,500000000.0,41.29851084742053,1153.9887789999998,538,505,-15.879764935847517,55.326396413218674
1745836447.0,500000000.0,42.66095917800377,1153.9887789999998,553,510,-14.644814196593126,53.55945638461185
1745836449.0,500000000.0,45.35780076856737,1153.9887789999998,570,506,-12.97311460134616,50.37496844431261
1745836451.0,0.0,47.22307895092254,1153.9887789999998,585,513,-11.79265169502974,48.38519285865756
1745836453.0,0.0,49.91354448367388,1153.9887789999998,607,510,-10.230925622297317,45.77710932084501
1745836455.0,0.0,52.81625491625642,1153.9887789999998,628,510,-8.826980984710907,43.26126087589611
1745836457.0,0.0,55.826348555715455,1153.9887789999998,652,515,-7.446449497077399,40.928662567634
1745836459.0,0.0,61.602444240025115,1153.9887789999998,678,520,-5.819732558046339,37.09102472488303
1745836461.0,0.0,69.88205096905048,1153.9887789999998,702,527,-4.332914325472142,32.696490024769595
1745836462.0,500000000.0,77.90145425235524,1153.9887789999998,729,534,-3.098706343847276,29.330617821565497
1745836464.0,500000000.0,85.64736773516681,1153.9887789999998,753,545,-2.174092223295056,26.677968545223845
1745836466.0,500000000.0,95.65322059308978,1153.9887789999998,759,548,-1.7189121368826383,23.88730633691874
1745836468.0,0.0,114.84314532612645,1153.9887789999998,757,562,-1.3007433390949126,19.895813336803418
1745836470.0,0.0,129.92346248448453,1153.9887789999998,756,579,-1.0500947229080062,17.58649083642504
1745836472.0,0.0,148.95343330578928,1153.9887789999998,747,599,-0.9090913060446983,15.339678527109143
1745836474.0,0.0,173.42320931924357,1153.9887789999998,728,635,-0.8580581201017481,13.175271011239788
1745836476.0,0.0,199.28659602573939,1153.9887789999998,721,659,-0.6877654737669792,11.465386172409145
1745836478.0,0.0,231.50820192609515,1153.9887789999998,710,700,-0.5483306821683289,9.869619147011527
1745836480.0,0.0,266.91147140783767,1153.9887789999998,686,737,-0.5223222994779091,8.56050798554365
1745836482.0,0.0,288.08993372966336,1153.9887789999998,640,749,-0.7272976639328943,7.931196181828736
1745836483.0,500000000.0,272.5334409986223,1153.9887789999998,581,748,-1.2539674483823242,8.383917122418566
1745836485.0,500000000.0,392.9821942717164,1153.9887789999998,731,750,0.189566354960494,5.814252695734535
1745836502.0,500000000.0,319.4013677568578,1153.9887789999998,777,750,0.29032807384014403,7.1536881587788415
1745836518.0,0.0,268.6375762553925,1153.9887789999998,859,749,0.7624958248639411,8.505503266779618
1745836525.0,500000000.0,304.0827150087099,1153.9887789999998,928,750,1.2383003014535179,7.514066632674445
1745836535.0,0.0,304.5714658011853,1153.9887789999998,763,750,0.16524719679253808,7.502008687548916
1745836537.0,0.0,310.10415889195036,1153.9887789999998,725,750,-0.06266621177522924,7.368162331599451
1745836538.0,500000000.0,287.90478682884805,1153.9887789999998,674,750,-0.49457472661133983,7.936296605510461
1745836540.0,500000000.0,270.2825002670288,1153.9887789999998,635,750,-0.8770693429947254,8.453739254900364
1745836542.0,500000000.0,280.37857314287606,1153.9887789999998,609,750,-0.9934474651996537,8.149330944970803
1745836544.0,500000000.0,279.1947098131533,1153.9887789999998,580,750,-1.2075207574926219,8.183886377894238
1745836548.0,0.0,276.02088656144986,1153.9887789999998,535,750,-1.5555905853708183,8.277988709058503
1745836556.0,0.0,327.7033386230469,1153.9887789999998,453,749,-1.6495708198491312,6.972458053130455
1745836558.0,0.0,311.63617861270905,1153.9887789999998,449,749,-1.8110745545733444,7.331940060976019
1745836559.0,500000000.0,298.1579870766607,1153.9887789999998,444,748,-1.9709006247065537,7.663379421167476
1745836562.0,0.0,298.09860941943,1153.9887789999998,444,749,-1.971490400494943,7.664905874166989
1745836563.0,500000000.0,302.21313175242,1153.9887789999998,443,749,-1.9377224489416915,7.560550956772589
1745836565.0,500000000.0,309.83150817950565,1153.9887789999998,446,749,-1.8465616375186553,7.374646290319218
1745836567.0,500000000.0,290.12488446916853,1153.9887789999998,446,749,-2.03923402039279,7.875566367223542
1745836569.0,0.0,307.073645237514,1153.9887789999998,443,748,-1.891381010448373,7.44087881801998
1745836571.0,0.0,300.4264233418,1153.9887789999998,453,749,-1.8892280005690882,7.605515377122586
1745836573.0,0.0,327.27080065138796,1153.9887789999998,453,749,-1.653059412800886,6.981673213351823
1745836575.0,0.0,319.59828751662684,1153.9887789999998,463,749,-1.6545578815955408,7.149280430049644
1745836577.0,0.0,322.11684999465945,1153.9887789999998,465,749,-1.62158697600104,7.093381741619174
1745836579.0,0.0,316.20252905951605,1153.9887789999998,468,750,-1.651649238799455,7.226057897816286
1745836581.0,0.0,310.8220111301967,1153.9887789999998,469,749,-1.6910075874821973,7.351145352003095
1745836583.0,0.0,331.7890403384254,1153.9887789999998,473,749,-1.4977137875157893,6.886598122980192
1745836585.0,0.0,274.16725948878695,1153.9887789999998,473,749,-2.020557029076226,8.333955654225186
1745836587.0,0.0,245.4799196196765,1153.9887789999998,478,751,-2.3320483836722214,9.307880603676281
1745836589.0,0.0,275.97495037859136,1153.9887789999998,478,751,-1.9649644599185876,8.27936658484947
1745836590.0,500000000.0,236.85517818697036,1153.9887789999998,564,736,-1.7340956906046958,9.64681371929446
1745836594.0,0.0,144.59273471351432,1153.9887789999998,740,658,-1.062220471412101,15.802300073701023
1745836596.0,0.0,121.83658539302765,1153.9887789999998,781,609,-0.7792236654628772,18.753790374617292
1745836598.0,0.0,108.11487949916295,1153.9887789999998,809,606,-0.49098181247820616,21.13398075273894
1745836600.0,0.0,99.46571473817569,1153.9887789999998,818,591,-0.44060521478280656,22.971712297393655
1745836602.0,0.0,85.65737027538066,1153.9887789999998,817,574,-0.6943404103196076,26.67485325634281
1745836604.0,500000000.0,115.48815525599889,1153.9887789999998,804,561,-0.4821524455877213,19.784693740714275
1745836606.0,500000000.0,111.5593270195855,1153.9887789999998,792,555,-0.7469786585617679,20.481459000006875
1745836608.0,500000000.0,88.83712537749474,1153.9887789999998,774,552,-1.5924357690737663,25.720077869593432
1745836612.0,500000000.0,83.19451375161448,1153.9887789999998,720,549,-3.0527686277570947,27.464524755103323
1745836614.0,500000000.0,87.27375671829003,1153.9887789999998,694,552,-3.4536745337817942,26.180811601767015
1745836616.0,0.0,86.27253424261035,1153.9887789999998,686,549,-3.6888491116001756,26.484648938149306
1745836617.0,500000000.0,90.52242565872078,1153.9887789999998,680,558,-3.6004223972427454,25.2412345978698
1745836619.0,500000000.0,95.90267060597738,1153.9887789999998,684,560,-3.2603109415091467,23.82517366807914
1745836621.0,500000000.0,93.25920084725439,1153.9887789999998,704,575,-2.9561647414209835,24.500507849754626
1745836630.0,0.0,42.24636766387195,1153.9887789999998,899,574,1.4180564413809154,54.0850707118659
1745836632.0,0.0,30.595112350751773,1153.9887789999998,988,573,7.3408127564922125,74.681790876439
1745836634.0,0.0,50.05468515249399,1153.9887789999998,1119,562,10.05376353025291,45.648030258485285
1745836636.0,0.0,67.77393713662791,1153.9887789999998,1177,551,9.378531843108942,33.71351700896161
1745836638.0,500000000.0,57.3876953125,1153.9887789999998,1148,519,9.896157095528801,39.81511663742159
1745836640.0,500000000.0,45.80325164794922,1153.9887789999998,1120,512,10.938285621854284,49.88505619605509
1745836642.0,500000000.0,32.51043820848652,1153.9887789999998,1096,506,13.544239570259776,70.28197429290726
1745836644.0,500000000.0,26.40341331845238,1153.9887789999998,1069,501,14.423256735620287,86.5379697261781
1745836645.0,0.0,42.744142593876006,1153.9887789999998,1069,501,9.287834703889526,53.45522552948247
1745836647.0,0.0,37.75569291548295,1153.9887789999998,1043,497,9.020678459065659,60.51796711915206
1745836649.0,0.0,32.862518310546875,1153.9887789999998,1019,492,8.770408895851654,69.5289922953557
1745836651.0,0.0,27.899987471731084,1153.9887789999998,997,494,8.59300806652317,81.89601463925786
1745836653.0,0.0,29.267525227864585,1153.9887789999998,982,488,7.222977622234609,78.06938798653972
1745836826.0,500000000.0,9.296770368303571,1153.9887789999998,1052,481,35.52068292382118,245.77328382877295
1745836834.0,0.0,11.27647068189538,1153.9887789999998,1053,478,29.634053526610632,202.62525810388996
1745836836.0,0.0,11.90852283296131,1153.9887789999998,1051,478,27.78121787635937,191.87079829042162
1745836838.0,500000000.0,10.910457356770833,1153.9887789999998,1049,488,29.869067073016097,209.42273157797857
1745836839.0,0.0,13.627457838792067,1153.9887789999998,1049,488,24.111247816782512,167.66867375041772
1745836841.0,0.0,14.326471144153226,1153.9887789999998,1046,490,22.568505040973154,159.4878291680704
1745836843.0,0.0,15.54483642578125,1153.9887789999998,1045,482,20.749862464299255,146.98757322595407
1745836844.0,0.0,15.974529844341854,1153.9887789999998,1043,480,19.970454057673624,143.03380473067918
1745836846.0,0.0,17.4488920323989,1153.9887789999998,1041,480,18.1397324442053,130.948015391317
1745836848.0,0.0,17.776057193153783,1153.9887789999998,1036,480,17.2671657775102,128.53794053385462
1745836850.0,500000000.0,13.687229701450892,1153.9887789999998,1027,484,20.82774918124479,166.9364679528826
1745836851.0,0.0,21.73495864868164,1153.9887789999998,1027,484,13.482493507455391,105.12547179649651
1745836853.0,0.0,21.615424601236978,1153.9887789999998,1020,485,12.910368651408383,105.70681930019745
1745836855.0,0.0,23.95697126717403,1153.9887789999998,1014,488,11.249386592003853,95.37506878220366
1745836857.0,0.0,25.045345682493398,1153.9887789999998,1006,492,10.17110026184213,91.23043504315193
1745836859.0,0.0,27.667368242817542,1153.9887789999998,997,494,8.656931959042913,82.58457264048451
1745836868.0,0.0,43.02639702690972,1153.9887789999998,928,503,2.744825758620805,53.10455767400117
1745836870.0,0.0,47.115694086602396,1153.9887789999998,909,505,1.794059677733566,48.49547113155493
1745836872.0,0.0,50.12966134207589,1153.9887789999998,887,509,0.876770226557087,45.579756999120015
1745836874.0,0.0,56.87136358963816,1153.9887789999998,863,514,0.05462291672173947,40.17659571004735
1745836876.0,500000000.0,42.52361358372511,1153.9887789999998,813,520,-2.589097761691227,53.73244627767216
1745836878.0,500000000.0,48.051204748321,1153.9887789999998,786,525,-3.2899378553296152,47.55131103138134
1745836880.0,500000000.0,54.0057627360026,1153.9887789999998,758,523,-3.8445983274572857,42.308406856307336
1745836882.0,500000000.0,63.53432137625558,1153.9887789999998,731,530,-3.9609645083592717,35.96320434255752
1745836884.0,500000000.0,75.78599403782894,1153.9887789999998,703,536,-3.892118060123984,30.14934106794828
1745836885.0,0.0,89.49297430282249,1153.9887789999998,703,536,-3.144359966007567,25.531588375736185
1745836887.0,500000000.0,92.14067367360562,1153.9887789999998,659,544,-3.9710682445821703,24.797927900048833
1745836889.0,500000000.0,96.50692425352155,1153.9887789999998,648,548,-3.972298549050051,23.675998381397214
1745836897.0,500000000.0,131.93072245671198,1153.9887789999998,585,594,-3.5854025973335615,17.318921172206128
1745836900.0,0.0,157.5483913845486,1153.9887789999998,561,620,-3.1430550218514934,14.502831557593984
1745836902.0,0.0,165.27823448181152,1153.9887789999998,533,652,-3.2851919054065917,13.824553424010874
1745836904.0,500000000.0,218.08031646878112,1153.9887789999998,443,724,-3.0672032566872884,10.477322389373413
1745836906.0,500000000.0,223.14358338442716,1153.9887789999998,397,747,-3.3833104729940358,10.23958541744678
1745836908.0,500000000.0,260.3086580250361,1153.9887789999998,387,750,-2.8349829173978938,8.77764804196502
1745836910.0,500000000.0,244.14063717867876,1153.9887789999998,378,750,-3.1612801060430904,9.358940849932146
1745836914.0,500000000.0,258.92623165249825,1153.9887789999998,360,749,-3.061872857766555,8.824512556481853
1745836916.0,0.0,258.03403391156877,1153.9887789999998,336,750,-3.2600446688066347,8.855024849950842
1745836917.0,500000000.0,275.71019027346654,1153.9887789999998,325,749,-3.06656450016301,8.28731712873469
1745836919.0,500000000.0,262.96817736192185,1153.9887789999998,319,750,-3.3083002032252917,8.688875609748422
1745836921.0,500000000.0,274.9481973340434,1153.9887789999998,318,750,-3.1282163810329333,8.31028464479803
1745836923.0,500000000.0,280.96070451447457,1153.9887789999998,326,750,-2.9837093204043255,8.132446088389866
