time,sensor_x,sensor_y
1745834851.784755706787109,888.439694482465939,443.955404793079310
1745834855.836826562881470,882.818643236247340,432.369605916213914
1745834857.903810501098633,880.060093892268583,426.647695345635611
1745834865.809360742568970,868.906747050887702,404.037061893305179
1745834871.924022197723389,860.711653248118978,388.214743338246819
1745834873.844078063964844,858.196956620373385,382.792110838147721
1745834881.862276792526245,847.160303789708564,359.090074558708181
1745834892.048736810684204,833.368059261457006,331.028018696404104
1745834897.805943965911865,824.969635377992518,314.236816820683714
1745834898.825104236602783,823.584650448398634,311.561978984474592
1745834908.825282096862793,809.139082624635307,284.254283815942586
1745834911.774491786956787,804.539721152764173,275.823648622716405
1745834912.844487428665161,803.141450073693363,273.159149588693310
1745834913.765049219131470,801.546270258507775,270.566286148744780
1745834914.795359611511230,800.049510569961171,267.937567412186752
1745834922.825844526290894,787.848959342140347,246.593267130351933
1745834923.824702024459839,786.300779836107267,243.777791282496736
1745834935.785218954086304,766.546810625629519,211.927651425457981
1745834946.484419107437134,748.731571255222775,185.715785878980682
1745834947.814403533935547,746.528065742372746,182.443935293298154
1745834960.783986091613770,723.375796674121034,150.782343541742449
1745834961.484574556350708,722.119497798938482,149.130048719067673
1745834961.784355163574219,721.568102846095258,148.441204625834303
1745834963.764024734497070,717.789936472951467,143.619460543884855
1745834964.838454008102417,715.622575878418729,141.210518819004989
1745834964.984543085098267,715.377821101748964,140.924804707741572
1745834965.995476245880127,713.715454959217368,138.904479033748686
1745834966.384604930877686,713.850355346067659,138.003351110483521
1745834969.884680032730103,704.773672288967305,131.571809689600400
1745834970.984573364257812,704.371034300462384,126.859319747933597
1745834971.805736303329468,703.020174637997002,124.988457477063022
1745834972.764230728149414,701.238494696803855,123.030679684801584
1745834973.834083318710327,699.520160451996162,121.247476019104823
1745834974.817453145980835,697.541082324822355,119.361022107672355
1745834977.044152736663818,693.813880005786359,115.305383112285924
1745834981.184365034103394,684.535143333749943,106.602515620127150
1745834992.384299516677856,659.491856014926725,84.326320163299869
1745835001.824575185775757,638.021461821948151,63.519281193777729
1745835013.184744834899902,607.778509292833178,46.405804820482572
1745835024.584537982940674,577.478238248657476,28.485709149724777
1745835031.284366846084595,559.611658811040570,17.845053029414245
1745835036.084359884262085,546.605954825972617,10.201422903753016
1745835038.774136781692505,539.342702224848836,6.044843753538292
1745835039.808974266052246,536.457357853473695,5.351937493075413
1745835055.184488296508789,491.199636171557415,-1.044522867430650
1745835056.764351844787598,486.552882452884205,-1.667493964103600
1745835067.765938997268677,453.750195358107760,-4.610285832699416
1745835079.184617280960083,418.799967146413337,-6.461237607028107
1745835080.766404628753662,413.954294602487948,-6.739460471801516
1745835081.977572441101074,411.004635523031254,-6.900563987899636
1745835089.384515523910522,388.249789563752756,-8.177293221623973
1745835091.794503450393677,380.846816536288543,-8.588824242661634
1745835092.774091482162476,377.645494302632983,-8.807292082103107
1745835093.484422922134399,375.593331681251243,-8.860528718795495
1745835093.826052904129028,374.606216132017380,-8.886846954179889
1745835097.774462461471558,362.061411081277924,-9.657635044040557
1745835098.984308481216431,358.285253559316970,-9.921496500847795
1745835100.884375572204590,352.354164823749670,-10.339067100628361
1745835104.775677442550659,340.207956368622661,-11.191315280200701
1745835105.893929719924927,337.095513643862660,-11.494432640786243
1745835117.784569978713989,301.995893828519456,-12.783312615862966
1745835117.951107263565063,301.512739908446690,-12.758623479989172
1745835130.584476232528687,266.169123105479969,-13.885769867707225
1745835132.825496673583984,259.899076398469049,-14.087931670847704
1745835147.484301090240479,224.885193087397795,-14.960100616068438
1745835155.084344625473022,206.738776629876725,-15.371178160835006
1745835157.084321975708008,201.961394381756577,-15.487258980803828
1745835159.784744739532471,195.513421765386084,-15.632845732498163
1745835160.184529066085815,194.745283465771308,-15.601686693824863
1745835160.811554431915283,193.542739602640722,-15.543805132751045
1745835161.784603834152222,191.418947183619309,-15.731047299566866
1745835161.814215421676636,191.350322411840949,-15.752572569501636
1745835164.172429561614990,187.289493236049168,-15.892260422278493
1745835176.384678602218628,161.528265066765925,-15.908824573492041
1745835176.684643983840942,160.896746914393788,-15.904582510173803
1745835177.854077100753784,158.437409917212022,-15.878458624658839
1745835193.908796548843384,127.100600476426919,-15.649402465226716
1745835194.863370180130005,125.016199412469476,-15.566382899706870
1745835209.967021465301514,95.245711235717920,-13.147098400244371
1745835210.384372234344482,94.328704155700152,-13.048825664126834
1745835210.884457588195801,93.225384259875085,-12.943067257643019
1745835213.784290552139282,86.840160989003977,-12.296192310987349
1745835213.824918746948242,86.750892316691676,-12.286625499178006
1745835214.819329500198364,84.586635169608684,-12.106219738916845
1745835215.784328222274780,82.551830942057492,-11.762601032946289
1745835215.815637111663818,82.485962839521235,-11.751064392789878
1745835231.834385871887207,51.143033723958951,-7.802829749023337
1745835240.684617519378662,43.289482514642017,-6.881894287238984
1745835271.884436368942261,16.091273059866793,-1.931461748144812
1745835272.484625577926636,15.558270857079696,-1.870009585035675
1745835274.584631681442261,13.707064286153756,-1.579354116459848
1745835274.846285581588745,13.481325109103929,-1.514702083128808
1745835276.584761381149292,13.399099703862385,-1.444531657688249
1745835276.775869131088257,13.395660670576188,-1.403067773718656
1745835297.948158025741577,13.165136761160523,0.154684197092311
1745835298.813924074172974,13.164466334598014,0.150364453707845
1745835310.784842729568481,12.084069914656284,0.560520435661572
1745835320.845801115036011,12.643491783468098,-0.055800766024382
1745835329.884640693664551,13.316180471865803,0.345187806190743
1745835332.775390863418579,13.529716582356446,0.465379565299517
1745835334.384803771972656,14.260340188576869,0.444344664968223
1745835359.844401597976685,25.548801134632605,-0.928085559103123
1745835378.786377429962158,48.594802179438439,-6.521234339942690
1745835395.801781654357910,53.544564580245570,-8.898579244133241
1745835396.763112783432007,53.645277977828748,-8.469813328589755
1745835400.835101842880249,54.574766901825072,-7.362182911945157
1745835402.834853410720825,55.404762053765161,-6.329448518525892
1745835404.796767234802246,56.894712012739866,-4.611828666529366
1745835404.984551906585693,57.261291051760033,-4.527014032200750
1745835421.384171485900879,87.778708390623493,7.980268796439264
1745835425.884336233139038,96.931957991875862,10.525128485075323
1745835428.805765151977539,102.281226701181282,12.032221160633917
1745835431.884337186813354,109.210530697243328,13.405442601139997
1745835432.686630487442017,111.948897857546157,14.788070008424974
1745835432.784265279769897,111.466697436638029,13.816841889295645
1745835435.764145612716675,118.658968466324197,15.292910958988054
1745835445.900011539459229,141.482986013655108,17.936689782542366
1745835456.784667491912842,166.003091770356519,19.905350248503943
1745835458.735816478729248,170.409517246104201,20.125306903599949
1745835459.775439977645874,172.540213148541000,20.171558020479594
1745835460.384613752365112,173.921261372947441,20.683627718633026
1745835461.084627628326416,175.592484849262689,20.520353943309935
1745835461.484638214111328,176.238167737982138,20.537366035001302
1745835461.696309804916382,176.767022861893764,20.474578741965633
1745835463.715728998184204,180.924494984841346,21.198671381839965
1745835518.684614181518555,289.355949626272661,20.945988556648526
1745835519.784612894058228,291.580653355429774,20.959900134609750
1745835576.684418916702271,404.274467558431070,19.451167680061271
1745835576.784416198730469,403.942099240974017,20.170606141535327
1745835576.984367847442627,404.336490602340632,20.168834235357902
1745835593.782319068908691,437.841958823401342,21.275271862463185
1745835596.756042480468750,442.119188892000864,20.996905138466559
1745835606.788456439971924,455.969372896912319,19.723265678343925
1745835610.755211830139160,461.075582570139716,18.621272306047569
1745835617.684460878372192,468.080038221542281,15.737066116627716
1745835630.815881013870239,481.983347417650862,9.406612338449893
1745835633.757181167602539,484.289272796675561,7.634000503240824
1745835634.740334033966064,485.048599270702482,7.094484552669173
1745835636.734536170959473,486.308400985539151,5.883947883093923
1745835638.734653949737549,487.533521328951622,4.846031532595709
1745835640.484293699264526,488.481772914280839,4.022828904040781
1745835645.779578685760498,490.978269357494810,1.406623855534143
1745835646.785154342651367,491.330652841026449,1.094431308385275
1745835647.735752582550049,491.706792720246881,0.569489384708233
1745835658.768085479736328,494.519469122875705,-1.500377664769156
1745835667.800165653228760,496.726714834582594,-1.164181514633779
1745835668.751492977142334,496.842627710568479,-1.269212356580120
1745835669.816038131713867,497.124241270382583,-1.242458075769384
1745835674.765558004379272,498.068053824825768,-1.446580572411450
1745835675.775057315826416,498.166094944730105,-1.395464940475968
1745835676.761900424957275,498.301079421582074,-1.565182645605516
1745835677.756054162979126,498.489578367516174,-1.555040441038915
1745835678.785005807876587,498.684282437358036,-1.561651800626775
1745835689.384290456771851,501.342191840224871,-2.211092931035027
1745835689.884282350540161,501.419245123142844,-2.152897547540918
1745835695.684302568435669,502.497472632495374,-1.976819111985916
1745835699.984408617019653,503.291788803577219,-1.899661269576697
1745835701.731190681457520,503.584876812776770,-1.781744098539426
1745835715.805261373519897,506.791908091086270,-3.025812077744899
1745835752.742146968841553,516.213438937181195,-6.460989987185714
1745835754.284201383590698,516.581263808408266,-6.661005901623608
1745835754.832693576812744,516.710405141623824,-6.708009497640515
1745835755.084205150604248,516.760004323923113,-6.752394412596283
1745835776.734668970108032,520.859088015135626,-8.169718705316884
1745835790.788373708724976,523.846417978719387,-9.380420886757234
1745835801.795109510421753,526.419299116624757,-10.527365583583258
1745835803.899610757827759,526.935650159405441,-10.791769108220841
1745835811.284542322158813,528.363352447631996,-12.079245456848026
1745835811.384543895721436,528.383175127257800,-12.101123452160051
1745835812.184677362442017,528.535662653065742,-12.229404130944765
1745835812.384670019149780,528.575305937073153,-12.273157823187368
1745835818.745341062545776,529.794455333810674,-13.384811854798315
1745835821.773398399353027,530.126947374190536,-13.727604068331011
1745835824.747768878936768,530.303051778155464,-14.256225049227865
1745835826.484590768814087,530.256521295703237,-14.632589509965083
1745835827.184534311294556,530.241482695470040,-14.802480529005049
1745835839.755101680755615,529.954663228401500,-17.774303390234856
1745835841.725790262222290,529.763871342899733,-18.298589316878267
1745835850.784446477890015,529.552128336821397,-20.694212731364662
1745835851.584570884704590,529.532855728129675,-20.903145244640104
1745835852.724202394485474,529.509064551310530,-21.218066608319532
1745835853.734576702117920,529.446174336362219,-21.396197859763582
1745835873.384211301803589,528.868791118848094,-26.126669116373563
1745835878.684124469757080,528.704397708031024,-27.359912202706653
1745835879.584037303924561,528.677146854030980,-27.572612179469843
1745835880.284179449081421,528.655290837149550,-27.734858557541688
1745835881.733156442642212,528.610100864904439,-28.070860836095118
1745835885.584169149398804,528.494970087567708,-29.065770477805682
1745835885.684172868728638,528.491401711126741,-29.088777101371207
1745835886.834125518798828,528.460849316757731,-29.404652584320814
1745835897.184446096420288,527.933067649277746,-31.559557852790306
1745835897.484446048736572,527.917518237918671,-31.620759652439403
1745835897.584445953369141,527.912335104573799,-31.641160237080044
1745835898.284414052963257,527.876907581141154,-31.788273493071657
1745835911.695949077606201,527.207458451864113,-34.659752489237832
1745835931.284158229827881,525.613539194523241,-39.510002826165469
1745835931.784162282943726,525.575684128112471,-39.660586094071832
1745835933.687370061874390,525.422266173803905,-40.161293207099902
1745835935.584124803543091,525.208506877360946,-40.619158175200582
1745835935.684120416641235,525.196788424526630,-40.639055456641742
1745835944.684137105941772,524.171741177171953,-42.792690854166509
1745835945.484228610992432,524.077978691732483,-42.951894270923546
1745835945.784260988235474,524.047326127615406,-43.089529712317798
1745835951.884567975997925,523.345634221000410,-44.751932680403584
1745835953.284473419189453,523.181689630996630,-45.098107922838793
1745835955.184537410736084,522.957764860357429,-45.611418861512185
1745835967.884318113327026,521.413377513973842,-49.015381891552224
1745835968.884423255920410,521.289726019534555,-49.270588183287671
1745835969.384390592575073,521.231134946702809,-49.370072415339365
1745835991.784034729003906,518.418475767943733,-54.886914552631417
1745835991.884046554565430,518.406755392658852,-54.906815046751952
1745835992.683963298797607,518.301214216996527,-55.115062294520179
1745835996.283966302871704,517.842335478061159,-55.978237231823023
1745836003.684392929077148,516.862960283471807,-57.845113646759657
1745836005.384451150894165,516.639532272415408,-58.260675539190629
1745836015.384497404098511,515.222429696136032,-60.929248552703008
1745836016.384395360946655,515.077661484684086,-61.195439599078242
1745836028.584358692169189,513.326195372424536,-64.316333651278981
1745836048.884146928787231,510.581428233024781,-69.001134041349232
1745836052.384107112884521,510.114704544646372,-69.787527502732985
1745836054.584207773208618,509.835713743018630,-70.258385818638999
1745836054.784242630004883,509.812271627967277,-70.298189011160943
1745836055.184277772903442,509.765391448623973,-70.377788516315093
1745836055.714129924774170,509.692665259114449,-70.499725288372190
1745836058.787001848220825,509.209266778328868,-71.176420572720744
1745836064.184525012969971,507.612923198633780,-71.989117861365756
1745836090.284180402755737,499.544573619549794,-76.335724413133391
1745836100.084075689315796,496.719255400501879,-77.692664879126383
1745836110.584408044815063,493.795993202763327,-79.022789789253494
1745836110.984465837478638,493.681691495889027,-79.076958970031768
1745836111.884414434432983,493.434106807997239,-79.187260490596358
1745836114.284540414810181,492.776874508314279,-79.477489753846740
1745836125.744517087936401,489.603300214000058,-80.903666248133092
1745836137.184254407882690,484.925022064364896,-81.148037575920753
1745836147.584157943725586,480.603892888491146,-81.457051266329799
1745836162.764400482177734,474.302768150184818,-81.898254747222865
1745836171.584518909454346,471.318450113511290,-82.197502679718298
1745836173.884495973587036,470.541937178281785,-82.272774908252302
1745836174.784482717514038,470.235997830641850,-82.304938063897723
1745836176.884444952011108,469.525240978576448,-82.375754317691687
1745836182.784423112869263,467.524190114366775,-82.579097379873573
1745836194.684193849563599,463.464747677713888,-83.013400915179332
1745836206.384107589721680,459.421509583853776,-83.492396335181283
1745836209.584018230438232,458.314459493544859,-83.622356231849139
1745836220.584466457366943,454.513040732792774,-84.056815312323081
1745836232.684374809265137,450.472040224956743,-84.378889128606573
1745836232.884363651275635,450.406165019164007,-84.383247627543696
1745836233.484328746795654,450.204307239572870,-84.400744475518053
1745836236.084530115127563,449.339341482463226,-84.466246782174352
1745836244.384273767471313,446.572735082265922,-84.681018067731699
1745836252.684141397476196,443.858401302366588,-84.841640163802680
1745836264.724691867828369,439.962377056099285,-85.030585455927977
1745836270.183998584747314,429.974704609821231,-82.807191828863580
1745836279.484537839889526,412.982036032754422,-78.992788214901140
1745836290.384536504745483,393.290905737319747,-74.248918790324097
1745836290.984556913375854,392.188080078797213,-74.009987946196389
1745836293.384436368942261,387.907296826243567,-72.888186560231588
1745836293.884416103363037,386.988344072179814,-72.689091149029224
1745836305.884280681610107,365.413704481680213,-67.219302782845276
1745836328.284452438354492,324.908533013680824,-57.037140025211436
1745836340.484462022781372,302.527499765799632,-52.079350563542775
1745836340.737211465835571,302.062951880680771,-51.978694099187464
1745836353.719507932662964,264.729994560446073,-46.434697731278511
1745836354.084340810775757,263.715105912709305,-46.275481951851340
1745836355.484353065490723,259.813630326801899,-45.681377730296965
1745836356.284307718276978,257.585402588301008,-45.339358577937844
1745836356.713752031326294,256.387903269544552,-45.158944603921931
1745836357.284250736236572,254.752124974390767,-44.898132446225226
1745836357.705821275711060,253.541569288500511,-44.709803316016711
1745836359.725772380828857,248.045774903969601,-43.883176322945559
1745836375.784140825271606,203.813853454906052,-38.935614618042607
1745836376.584005594253540,201.618240578437451,-38.666949509467557
1745836376.683983564376831,201.342054969268588,-38.638232452246228
1745836377.284122943878174,199.689799084054698,-38.450091394371192
1745836388.656359195709229,168.383023929553218,-34.858369827007387
1745836389.666524887084961,165.777258244202528,-34.661237959660511
1745836397.484393119812012,148.390758806262625,-33.428763957894553
1745836412.741952180862427,114.278157089915524,-31.605398482178320
1745836413.584179162979126,112.887913233698200,-31.475755724136171
1745836414.284172058105469,111.492033981199370,-31.455664048505223
1745836415.984274625778198,109.553895069823596,-31.824779551272183
1745836418.384160757064819,105.630014484333699,-30.398149620171349
1745836427.684056282043457,91.751609232480490,-27.325491414561217
1745836453.684337615966797,52.882946242768412,-15.476113297207016
1745836465.684329271316528,37.172764533750573,-7.093535094219258
1745836478.714010000228882,18.853841254245395,2.336851520935088
1745836481.784077882766724,17.710037578982455,3.090951703477161
1745836482.184096097946167,16.885334542361544,3.343989657472483
1745836482.384073019027710,17.478573151923957,2.921899305983745
1745836482.584015846252441,17.574447644355509,2.928591973024701
1745836495.714045524597168,11.936818448615913,4.862340004987524
1745836509.728345155715942,11.648516227015222,5.448631506955895
1745836536.816949129104614,12.318965634299150,4.608517879929367
1745836550.712516307830811,13.021335505645988,0.138949269490450
1745836556.723925352096558,13.003615492819312,-1.270935477402346
1745836600.284459352493286,25.336680444238326,-2.755591378349062
1745836602.484561920166016,24.959785719153786,-4.757146815200159
1745836603.584518909454346,24.813153424710269,-3.159506287205679
1745836603.747472763061523,25.036245420835687,-3.572236406882457
1745836603.884495496749878,25.658947133071301,-2.676895113869302
1745836606.668892860412598,25.799072288286549,-3.519701450066476
1745836608.658986330032349,26.352906939619022,-3.541469098091618
1745836609.685325145721436,26.620028658781838,-3.518937614164420
1745836626.884196996688843,66.102982351396733,-4.785601818032013
1745836640.584207534790039,104.772935973945593,-5.962235752955150
1745836650.883914709091187,134.597258524954043,-9.074637966354025
1745836651.383895158767700,135.835544575094957,-9.601715565543472
1745836652.684025526046753,139.728102087909491,-9.688553005743927
1745836653.784146308898926,142.939989864085902,-10.370173498315276
1745836692.284158945083618,254.274261202320673,-25.220544505682447
1745836702.084032297134399,282.412411642471454,-30.189084661897819
1745836714.384615659713745,316.783057178505032,-38.850344015054830
1745836714.784582614898682,317.934466295308084,-39.023988221802099
1745836715.684456825256348,320.489450532229228,-39.788343579904975
1745836715.884450197219849,321.065183565870655,-39.875169493402808
1745836725.684324741363525,349.769851990336861,-47.883656551809516
1745836726.084338188171387,350.921394782075367,-48.057311811729370
1745836728.702101707458496,359.303191544108529,-50.979313780597977
1745836734.184322595596313,369.822157057122013,-45.244875930445090
1745836735.716001033782959,373.267706114341252,-43.665119548008491
1745836736.184313297271729,373.677004178783420,-42.830551447470768
1745836737.694753170013428,376.364302381823904,-40.740057963026061
1745836753.717086791992188,380.219946682476120,-16.446736702728415
1745836761.384232997894287,359.327660971325031,-5.660200238835452
1745836769.884473085403442,334.854289861620941,5.149620894642508
1745836771.184498310089111,331.043093632501495,6.676360772526085
1745836771.284493684768677,330.771152573435245,6.847052864092962
1745836771.884509086608887,329.001331966704356,7.525156120443871
1745836774.713873863220215,320.722470921982847,10.896708261141267
1745836775.697272062301636,316.847132250693733,11.581734757867398
1745836778.701391220092773,305.218771940547470,13.637656611747579
1745836779.684878587722778,301.278265994710125,14.148492740787233
1745836780.884307146072388,297.563940411842054,14.305585253622279
1745836781.784441709518433,294.780922992004037,14.438322558977175
1745836782.284382104873657,293.238675169168062,14.523629882121526
1745836782.484400987625122,292.616015193694352,14.539995238914898
1745836797.684067487716675,245.272925561020941,15.701092384293037
1745836808.883995056152344,210.541725604496861,17.071074130706045
1745836821.784560918807983,170.691694765225748,20.127074462394354
1745836822.484534025192261,168.516554724695737,20.283709781113625
1745836823.784535646438599,163.987104612201676,21.178021803112085
1745836831.684441804885864,139.882042467567345,21.279956859259102
1745836834.844901561737061,130.043713816702649,21.605712715320216
1745836847.640343189239502,100.050946394865747,16.394970793312321
1745836849.679026126861572,95.643316265352155,15.681840340734459
1745836873.484522104263306,80.816928723316039,13.042026698731362
1745836884.085352897644043,73.976570772551028,9.585388688388409
1745836887.684484958648682,71.463335197887005,8.537349344322234
1745836892.129671812057495,67.969830413490271,7.721608154091545
1745836896.732785940170288,66.229837804776764,6.590010983547359
